Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-100.8,62.3,63,30.73,0.0011,354.9028
25,50,-67.6,52.8,75,15.0,0.0017,294.3208
50,75,-84.1,39.9,68,19.84,0.002,226.2274
75,100,-101.8,58.0,63,23.43,0.0023,311.3207
100,125,-112.3,68.5,60,25.15,0.0025,383.1337
125,150,-56.3,21.2,78,16.28,0.0028,152.0125
150,175,-34.5,22.7,86,7.49,0.003,162.4469
175,200,-28.2,18.8,89,6.55,0.0032,142.9901
200,225,-45.9,38.5,83,5.18,0.0033,257.3998
225,250,-35.5,25.2,87,3.88,0.0035,184.1653
250,275,-24.7,12.2,90,3.16,0.0036,138.2753
275,300,-48.2,24.6,82,5.14,0.0038,178.0125
300,325,-36.5,20.7,86,3.43,0.0039,163.698
325,350,-28.4,19.0,89,3.26,0.0041,161.0199
350,375,-20.9,5.2,91,3.23,0.0042,112.0097
375,400,-39.1,29.3,85,3.59,0.0043,187.2152
400,425,-34.7,31.7,86,5.63,0.0045,203.7161
425,450,-25.6,13.3,90,3.4,0.0046,146.1654
450,475,-53.7,38.6,80,5.34,0.0047,221.9005
475,500,-42.8,26.2,84,2.16,0.0047,190.519
