Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-64.0,37.0,76,14.27,0.0009,223.6812
25,50,-35.9,20.3,86,6.56,0.0013,166.6208
50,75,-42.0,18.3,84,8.46,0.0015,159.2086
75,100,-21.4,8.9,91,7.08,0.0018,120.0141
100,125,-48.0,28.7,82,5.01,0.0019,214.2631
125,150,-20.3,-1.4,92,3.02,0.0021,95.9974
150,175,-33.9,3.4,87,2.75,0.0021,112.9128
175,200,-45.9,25.4,82,3.65,0.0022,172.4651
200,225,-33.4,11.7,87,2.72,0.0023,136.8642
225,250,-28.7,11.5,89,2.49,0.0025,142.9897
250,275,-17.7,4.0,93,1.19,0.0025,112.0181
275,300,-32.4,5.8,87,2.97,0.0027,114.9724
300,325,-33.0,13.4,88,0.81,0.0027,167.6078
325,350,-24.3,11.3,90,3.17,0.0028,137.2782
350,375,-18.7,1.2,93,1.45,0.0029,103.7024
375,400,-19.3,5.1,92,1.66,0.003,114.2367
400,425,-35.7,11.5,86,0.37,0.003,135.826
425,450,-23.4,1.7,91,2.06,0.0031,105.226
450,475,-26.1,4.9,90,2.52,0.0031,115.2415
475,500,-34.3,10.4,87,1.36,0.0032,135.507
