,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,-274.9,-26.2,0,0.0,0.0009,0.0,-64.0,37.0,76,14.27,0.0009,223.6812
1,50,-270.0,-25.6,0,0.0,0.0013,0.0,-35.9,20.3,86,6.56,0.0013,166.6208
2,75,-266.9,-33.8,0,0.0,0.0016,0.0,-42.0,18.3,84,8.46,0.0015,159.2086
3,100,-271.7,-31.4,0,0.0,0.0018,0.0,-21.4,8.9,91,7.08,0.0018,120.0141
4,125,-266.1,-29.9,0,0.0,0.0019,0.0,-48.0,28.7,82,5.01,0.0019,214.2631
5,150,-275.3,-28.3,0,0.0,0.002,0.0,-20.3,-1.4,92,3.02,0.0021,95.9974
6,175,-275.3,-31.1,0,0.0,0.0021,0.0,-33.9,3.4,87,2.75,0.0021,112.9128
7,200,-275.5,-30.2,0,0.0,0.0023,0.0,-45.9,25.4,82,3.65,0.0022,172.4651
8,225,-265.5,-38.8,0,0.0,0.0024,0.0,-33.4,11.7,87,2.72,0.0023,136.8642
9,250,-282.0,-23.1,0,0.0,0.0024,0.0,-28.7,11.5,89,2.49,0.0025,142.9897
10,275,-264.5,-32.3,0,0.0,0.0025,0.0,-17.7,4.0,93,1.19,0.0025,112.0181
11,300,-272.3,-29.7,0,0.0,0.0026,0.0,-32.4,5.8,87,2.97,0.0027,114.9724
12,325,-277.4,-26.1,0,0.0,0.0027,0.0,-33.0,13.4,88,0.81,0.0027,167.6078
13,350,-266.8,-33.2,0,0.0,0.0027,0.0,-24.3,11.3,90,3.17,0.0028,137.2782
14,375,-267.3,-29.7,0,0.0,0.0028,0.0,-18.7,1.2,93,1.45,0.0029,103.7024
15,400,-263.7,-41.3,0,0.0,0.0029,0.0,-19.3,5.1,92,1.66,0.003,114.2367
16,425,-282.0,-26.1,0,0.0,0.0029,0.0,-35.7,11.5,86,0.37,0.003,135.826
17,450,-270.6,-34.7,0,0.0,0.003,0.0,-23.4,1.7,91,2.06,0.0031,105.226
18,475,-275.8,-30.1,0,0.0,0.003,0.0,-26.1,4.9,90,2.52,0.0031,115.2415
19,500,-265.2,-38.7,0,0.0,0.0031,0.0,-34.3,10.4,87,1.36,0.0032,135.507
