,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,-263.8,-36.9,0,0.0,0.0003,0.0,-28.7,43.8,88,17.25,0.0003,212.7731
1,50,-266.4,-36.8,0,0.0,0.0004,0.0,-41.3,38.7,84,15.29,0.0004,206.7512
2,75,-271.0,-37.8,0,0.0,0.0005,0.0,-32.2,23.3,88,10.26,0.0004,181.2297
3,100,-268.9,-33.6,0,0.0,0.0005,0.0,-40.3,31.8,85,13.34,0.0005,218.5167
4,125,-267.1,-34.7,0,0.0,0.0006,0.0,-45.7,37.6,83,12.92,0.0006,224.3084
5,150,-268.3,-34.3,0,0.0,0.0006,0.0,-20.1,12.0,92,6.37,0.0006,140.5746
6,175,-267.9,-35.4,0,0.0,0.0007,0.0,-12.7,15.4,95,5.24,0.0006,141.2152
7,200,-274.1,-29.9,0,0.0,0.0007,0.0,-32.2,37.1,87,8.45,0.0007,215.9157
8,225,-266.9,-40.1,0,0.0,0.0007,0.0,-6.9,10.5,97,3.3,0.0007,130.2548
9,250,-267.2,-34.8,0,0.0,0.0008,0.0,-17.4,4.4,93,5.51,0.0007,112.139
10,275,-264.5,-33.0,0,0.0,0.0008,0.0,-32.5,31.8,88,4.56,0.0007,224.1251
11,300,-264.3,-33.1,0,0.0,0.0008,0.0,-12.4,14.5,95,4.97,0.0008,161.4587
12,325,-273.9,-25.0,0,0.0,0.0009,0.0,-13.6,7.1,94,2.63,0.0008,119.9651
13,350,-275.0,-31.3,0,0.0,0.0009,0.0,-7.1,2.1,97,2.48,0.0008,105.3357
14,375,-264.1,-37.5,0,0.0,0.0009,0.0,-10.8,7.1,95,3.7,0.0009,116.3426
15,400,-282.0,-25.3,0,0.0,0.001,0.0,-26.3,18.0,90,5.84,0.0009,165.8897
16,425,-265.7,-38.7,0,0.0,0.001,0.0,-31.6,32.2,88,5.5,0.0009,229.3867
17,450,-263.6,-43.8,0,0.0,0.001,0.0,-19.7,18.5,92,2.68,0.0009,174.2087
18,475,-267.2,-31.0,0,0.0,0.001,0.0,-25.9,16.2,90,4.55,0.0009,148.2939
19,500,-269.8,-33.9,0,0.0,0.001,0.0,-20.8,17.7,92,2.46,0.001,159.0939
