,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,-273.6,-27.5,0,0.0,0.0013,0.0,-100.8,62.3,63,30.73,0.0011,354.9028
1,50,-277.6,-23.4,0,0.0,0.0018,0.0,-67.6,52.8,75,15.0,0.0017,294.3208
2,75,-277.9,-27.0,0,0.0,0.0021,0.0,-84.1,39.9,68,19.84,0.002,226.2274
3,100,-269.3,-30.2,0,0.0,0.0025,0.0,-101.8,58.0,63,23.43,0.0023,311.3207
4,125,-275.8,-23.3,0,0.0,0.0027,0.0,-112.3,68.5,60,25.15,0.0025,383.1337
5,150,-260.8,-35.1,0,0.0,0.003,0.0,-56.3,21.2,78,16.28,0.0028,152.0125
6,175,-274.5,-26.6,0,0.01,0.0031,0.0,-34.5,22.7,86,7.49,0.003,162.4469
7,200,-269.6,-34.5,0,0.0,0.0033,0.0,-28.2,18.8,89,6.55,0.0032,142.9901
8,225,-257.3,-40.0,0,0.0,0.0035,0.0,-45.9,38.5,83,5.18,0.0033,257.3998
9,250,-276.5,-27.6,0,0.0,0.0036,0.0,-35.5,25.2,87,3.88,0.0035,184.1653
10,275,-272.1,-29.0,0,0.02,0.0038,0.0,-24.7,12.2,90,3.16,0.0036,138.2753
11,300,-268.5,-28.9,0,0.0,0.0039,0.0,-48.2,24.6,82,5.14,0.0038,178.0125
12,325,-274.7,-30.1,0,1.18,0.004,0.0,-36.5,20.7,86,3.43,0.0039,163.698
13,350,-269.7,-28.4,0,0.0,0.0041,0.0,-28.4,19.0,89,3.26,0.0041,161.0199
14,375,-271.1,-31.8,0,0.0,0.0042,0.0,-20.9,5.2,91,3.23,0.0042,112.0097
15,400,-276.4,-27.7,0,0.0,0.0042,0.0,-39.1,29.3,85,3.59,0.0043,187.2152
16,425,-273.5,-32.9,0,0.0,0.0043,0.0,-34.7,31.7,86,5.63,0.0045,203.7161
17,450,-270.1,-37.9,0,0.0,0.0044,0.0,-25.6,13.3,90,3.4,0.0046,146.1654
18,475,-270.6,-36.8,0,0.0,0.0045,0.0,-53.7,38.6,80,5.34,0.0047,221.9005
19,500,-274.7,-25.2,0,0.0,0.0046,0.0,-42.8,26.2,84,2.16,0.0047,190.519
