,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,-274.3,-36.1,0,0.0,0.0037,0.0,-74.9,32.5,71,14.89,0.0051,185.2276
1,50,-270.9,-37.4,0,0.0,0.0047,0.0,-81.5,46.4,70,5.16,0.0061,279.4442
2,75,-260.4,-37.8,0,0.0,0.0055,0.0,-68.9,38.5,74,8.3,0.0071,208.0315
3,100,-276.8,-22.5,0,0.0,0.0062,0.0,-37.1,13.0,85,3.78,0.0081,134.449
4,125,-270.7,-30.9,0,0.0,0.007,0.0,-68.4,35.0,74,5.02,0.0087,201.4415
5,150,-271.0,-30.0,0,0.0,0.0075,0.0,-58.4,18.9,78,4.95,0.0091,160.0124
6,175,-277.2,-24.1,0,0.0,0.0078,0.0,-46.7,27.0,82,3.09,0.0095,178.4836
7,200,-263.4,-35.1,0,0.0,0.0083,0.0,-62.7,24.7,77,4.77,0.0098,188.5239
8,225,-282.7,-21.7,0,0.0,0.0086,0.0,-44.7,15.7,83,3.97,0.0099,148.256
9,250,-273.5,-34.8,0,0.0,0.0093,0.0,-53.6,18.4,79,5.34,0.0101,144.7302
10,275,-269.7,-35.3,0,0.0,0.0096,0.0,-51.2,25.4,80,4.56,0.0104,175.5456
11,300,-261.7,-39.2,0,0.0,0.01,0.0,-43.5,11.6,84,1.07,0.0107,139.0168
12,325,-265.9,-37.8,0,0.0,0.0103,0.0,-53.7,15.2,80,3.26,0.0111,146.007
13,350,-264.0,-36.1,0,0.0,0.0109,0.0,-49.2,16.7,81,6.09,0.0113,139.3389
14,375,-260.6,-36.7,0,0.0,0.0112,0.0,-52.6,28.8,80,2.1,0.0117,187.2943
15,400,-276.7,-25.0,0,0.0,0.0114,0.0,-35.6,5.7,86,2.4,0.0118,115.0514
16,425,-263.2,-34.5,0,0.0,0.0118,0.0,-44.6,6.3,83,5.83,0.012,115.8863
17,450,-271.4,-32.3,0,0.0,0.012,0.0,-23.8,-3.6,90,1.34,0.0122,90.1692
18,475,-264.6,-38.3,0,0.0,0.0121,0.0,-61.3,32.5,78,4.65,0.0125,243.3369
19,500,-278.4,-26.4,0,0.0,0.0122,0.0,-42.3,5.6,84,3.25,0.0126,114.5056
