Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-274.9,-26.2,0,0.0,0.0009,0.0
25,50,-270.0,-25.6,0,0.0,0.0013,0.0
50,75,-266.9,-33.8,0,0.0,0.0016,0.0
75,100,-271.7,-31.4,0,0.0,0.0018,0.0
100,125,-266.1,-29.9,0,0.0,0.0019,0.0
125,150,-275.3,-28.3,0,0.0,0.002,0.0
150,175,-275.3,-31.1,0,0.0,0.0021,0.0
175,200,-275.5,-30.2,0,0.0,0.0023,0.0
200,225,-265.5,-38.8,0,0.0,0.0024,0.0
225,250,-282.0,-23.1,0,0.0,0.0024,0.0
250,275,-264.5,-32.3,0,0.0,0.0025,0.0
275,300,-272.3,-29.7,0,0.0,0.0026,0.0
300,325,-277.4,-26.1,0,0.0,0.0027,0.0
325,350,-266.8,-33.2,0,0.0,0.0027,0.0
350,375,-267.3,-29.7,0,0.0,0.0028,0.0
375,400,-263.7,-41.3,0,0.0,0.0029,0.0
400,425,-282.0,-26.1,0,0.0,0.0029,0.0
425,450,-270.6,-34.7,0,0.0,0.003,0.0
450,475,-275.8,-30.1,0,0.0,0.003,0.0
475,500,-265.2,-38.7,0,0.0,0.0031,0.0
