Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-74.9,32.5,71,14.89,0.0051,185.2276
25,50,-81.5,46.4,70,5.16,0.0061,279.4442
50,75,-68.9,38.5,74,8.3,0.0071,208.0315
75,100,-37.1,13.0,85,3.78,0.0081,134.449
100,125,-68.4,35.0,74,5.02,0.0087,201.4415
125,150,-58.4,18.9,78,4.95,0.0091,160.0124
150,175,-46.7,27.0,82,3.09,0.0095,178.4836
175,200,-62.7,24.7,77,4.77,0.0098,188.5239
200,225,-44.7,15.7,83,3.97,0.0099,148.256
225,250,-53.6,18.4,79,5.34,0.0101,144.7302
250,275,-51.2,25.4,80,4.56,0.0104,175.5456
275,300,-43.5,11.6,84,1.07,0.0107,139.0168
300,325,-53.7,15.2,80,3.26,0.0111,146.007
325,350,-49.2,16.7,81,6.09,0.0113,139.3389
350,375,-52.6,28.8,80,2.1,0.0117,187.2943
375,400,-35.6,5.7,86,2.4,0.0118,115.0514
400,425,-44.6,6.3,83,5.83,0.012,115.8863
425,450,-23.8,-3.6,90,1.34,0.0122,90.1692
450,475,-61.3,32.5,78,4.65,0.0125,243.3369
475,500,-42.3,5.6,84,3.25,0.0126,114.5056
