Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-28.7,43.8,88,17.25,0.0003,212.7731
25,50,-41.3,38.7,84,15.29,0.0004,206.7512
50,75,-32.2,23.3,88,10.26,0.0004,181.2297
75,100,-40.3,31.8,85,13.34,0.0005,218.5167
100,125,-45.7,37.6,83,12.92,0.0006,224.3084
125,150,-20.1,12.0,92,6.37,0.0006,140.5746
150,175,-12.7,15.4,95,5.24,0.0006,141.2152
175,200,-32.2,37.1,87,8.45,0.0007,215.9157
200,225,-6.9,10.5,97,3.3,0.0007,130.2548
225,250,-17.4,4.4,93,5.51,0.0007,112.139
250,275,-32.5,31.8,88,4.56,0.0007,224.1251
275,300,-12.4,14.5,95,4.97,0.0008,161.4587
300,325,-13.6,7.1,94,2.63,0.0008,119.9651
325,350,-7.1,2.1,97,2.48,0.0008,105.3357
350,375,-10.8,7.1,95,3.7,0.0009,116.3426
375,400,-26.3,18.0,90,5.84,0.0009,165.8897
400,425,-31.6,32.2,88,5.5,0.0009,229.3867
425,450,-19.7,18.5,92,2.68,0.0009,174.2087
450,475,-25.9,16.2,90,4.55,0.0009,148.2939
475,500,-20.8,17.7,92,2.46,0.001,159.0939
